,word,meaning,example
2127,ossify,"to change (a material, such as cartilage) into bone",ossified tendons of muscle
2128,ossify,to make rigidly conventional and opposed to change,ossified institutions
2129,ostentatious,"attracting or seeking to attract attention, admiration, or envy often by gaudiness or obviousness : overly elaborate or conspicuous : characterized by, fond of, or evincing ostentation",an ostentatious display of wealth/knowledge
2130,oust,"to remove from or dispossess of property or position by legal action, by force, or by the compulsion of necessity",The rebels ousted the dictator from power.
2131,oust,"to take away (something, such as a right or authority) : bar, remove",The states do not like attempts by Congress to oust their jurisdiction.
2132,oust,to take the place of : supplant,must be careful that quantity does not oust quality
2133,outlandish,of or relating to another country : foreign,saw many outlandish animals at the zoo
2134,outlandish,strikingly out of the ordinary : bizarre,an outlandish costume
2135,outlandish,exceeding proper or reasonable limits or standards,
2136,outlandish,remote from civilization,
2137,outstrip,to go faster or farther than,
2138,outstrip,to get ahead of,has civilization outstripped the ability of its users to use it?
2139,overt,open to view : manifest,overt hostility
2140,pacify,to allay the anger or agitation of : soothe,pacify a crying child
2141,pacify,"appease, propitiate",tried to pacify the enemy with compromises
2142,pacify,to restore to a tranquil state : settle,made an attempt to pacify the commotion
2143,pacify,to reduce to a submissive state : subdue,forces moved in to pacify the country
2144,painstaking,"taking pains : expending, showing, or involving diligent care and effort",painstaking research
2145,painstaking,the action of taking pains : diligent care and effort,
2146,palpable,capable of being touched or felt : tangible,palpable lymph nodes
2147,palpable,easily perceptible : noticeable,a palpable difference
2148,palpable,easily perceptible by the mind : manifest,
2149,panacea,a remedy for all ills or difficulties : cure-all,"The law will improve the lives of local farmers, but it is no panacea."
2150,panache,an ornamental tuft (as of feathers) especially on a helmet,The palace guard had a panache on his helmet.
2151,panache,dash or flamboyance in style and action : verve,
2152,paradigmatic,"example, pattern",
2153,paradigmatic,an example of a conjugation or declension showing a word in all its inflectional forms,
2154,paradigmatic,"a philosophical and theoretical framework of a scientific school or discipline within which theories, laws, and generalizations and the experiments performed in support of them are formulated",the Freudian paradigm of psychoanalysis
2155,paradoxical,of the nature of a paradox,the paradoxical theory that global warming will lead to the next Ice Age
2156,paradoxical,inclined to paradoxes,
2157,paradoxical,not being the normal or usual kind,a paradoxical pulse
2158,paragon,a model of excellence or perfection,was a paragon of goodness
2159,paragon,to compare with : parallel,
2160,paragon,to put in rivalry : match,
2161,paragon,surpass,
2162,parochial,of or relating to a church parish,our pastor and other parochial leaders
2163,parochial,of or relating to a parish as a unit of local government,parochial authorities serve the inhabitants of Louisiana's parishes
2164,parochial,"confined or restricted as if within the borders of a parish : limited in range or scope (as to a narrow area or region) : provincial, narrow",
2165,parsimonious,exhibiting or marked by parsimony,
2166,parsimonious,"sparing, restrained",
2167,partial,of or relating to a part rather than the whole : not general or total,a partial solution
2168,partial,inclined to favor one party more than the other : biased,
2169,partial,markedly fond of someone or something,
2170,partial,overtone sense 1a,
2171,pastiche,"a literary, artistic, musical, or architectural work that imitates the style of previous work",His building designs are pastiches based on classical forms.
2172,pastiche,"a musical, literary, or artistic composition made up of selections from different works : potpourri",The research paper was essentially a pastiche made up of passages from different sources.
2173,pastiche,hodgepodge,The house is decorated in a pastiche of Asian styles.
2174,patent,open to public inspection,
2175,patent,secured by letters patent or by a patent to the exclusive control and possession of a particular individual or party,
2176,patent,protected by a patent : made under a patent,patent locks
2177,patent,protected by a trademark or a brand name so as to establish proprietary rights analogous to those conveyed by letters patent or a patent : proprietary,patent drugs
2178,patent,"of, relating to, or concerned with the granting of patents especially for inventions",a patent lawyer
2179,patent,making exclusive or proprietary claims or pretensions,peddled his patent notions in season and out
2180,patent,affording free passage : unobstructed,a patent opening
2181,patent,"patulous, spreading",a patent calyx
2182,patent,"accessible, exposed",
2183,patent,readily visible or intelligible : obvious,his patent sincerity
2184,patent,an official document conferring a right or privilege : letters patent,
2185,patent,"a writing securing for a term of years the right to exclude others from making, using, or selling an invention",
2186,patent,the monopoly or right so granted,
2187,patent,a patented invention,
2188,patent,"privilege, license",
2189,patent,an instrument making a conveyance of public lands,
2190,patent,patent leather,
2191,patent,to obtain or grant a patent right to,
2192,patent,"to grant a privilege, right, or license to by patent",
2193,patent,to obtain or secure by patent,
2194,patronize,to act as patron of : provide aid or support for,The government patronized several local artists.
2195,patronize,to adopt an air of condescension toward : treat haughtily or coolly,
2196,patronize,to be a frequent or regular customer or client of,a restaurant much patronized by celebrities
2197,peccadillo,a slight offense,The movie star's peccadilloes made tabloid headlines.
2198,peculiar,"characteristic of only one person, group, or thing : distinctive",
2199,peculiar,different from the usual or normal:,
2200,peculiar,"special, particular",a matter of peculiar interest
2201,peculiar,"odd, curious",It seems peculiar that she would leave town without telling anybody.
2202,peculiar,"eccentric, unusual",The play had a zany plot and very peculiar characters.
2203,peculiar,something exempt from ordinary jurisdiction,
2204,pedantic,"of, relating to, or being a pedant",a pedantic teacher
2205,pedantic,"narrowly, stodgily, and often ostentatiously learned",a pedantic insistence that we follow the rules exactly
2206,pedantic,"unimaginative, dull",
2207,pedestrian,"commonplace, unimaginative","his sentences and phrases are too often pedestrian, commonplace, and flat"
2208,pedestrian,going or performed on foot,pedestrian traffic
2209,pedestrian,"of, relating to, or designed for walking",a pedestrian mall
2210,pedestrian,a person going on foot : walker,
2211,pellucid,admitting maximum passage of light without diffusion or distortion,a pellucid stream
